Adresse,Type de lieu,Horaire,Position,Mode ped,COORD_N_Y,COORD_E_X,LAT,LON,Field10,Field11
Avenue de Bel-Air 12 - 1225 Chêne-Bourg,MIGROS Chêne-Bourg,Lu - Me 08:00 - 19:00 / Je 08:00 - 20:00  / Ve 08:00 - 19:30 / Sa 08:00 - 18:00,Entrée directement à droite / Au niveau des bacs de fleurs,OUI,1116874.5,2503928.1,46.19645664,6.194073201,,
Avenue de Cavoitanne 99 (1287 Laconnex),Centre sportif,24/24,À côté de l'entrée de la buvette du stade,-,1113044.8,2491893.52,46.160207,6.03912,,
Avenue de Chatelaine 81 (1219 Chatelaine),Bibliothèque de Châtelaine,lun 15:00-19:00 / mar 14:00-18:00 / mer 9:00-13:00 14:00-18:00 / jeu 13:00-18:00,Bureau,NON,1118591.75,2497659.68,46.210985,6.112521,,
Avenue de Crozet 39 (1219 Chatelaine),Centre de quartier de Balexert,Mar 16:00-21:00 / Mer 9:00-11:30 14:00-18:00 / Jeu 16:00-18:00 / Ven 16:00-18:00,Grande salle,NON,1119186.42,2497541.78,46.216321,6.110876,,
Avenue de Feuillasse 24 - 1217 Meyrin,MIGROS Meyrin,Lu - Me 08:30 - 19:00 / Me-Je 08:30 - 19:30  / Sa 08:00 - 18:00,Dans le magasin au niveau des caisses Self-checkout (florissimo),OUI,1120958.21,2495366.63,46.23190866,6.082268173,,
Avenue de Feuillasse 25 (1217 Meyrin),Ecole De Livron,"lu-ve 06h30 à 18h00,  hors vacances scolaires",A l'intérieur de la salle de gymnastique,OUI,1120879.21,2495366.43,46.231159,6.082316,,
Avenue de Sainte-Clotilde 9 (1205 Geneve),Association Union Chrétiennes de Genève,lundi-vendredi 07h00-21h00 / samedi 07h00-12h00,"A droite, 3 mètres après la 2ème porte d'entrée",OUI,1117405.77,2499341.25,46.20056667,6.134528823,,
Avenue de Secheron 6 (1202 Geneve),Natural Le Coultre SA,lundi - vendredi 07h00-18h00,Dans le couloir de la caféteria,NON,1119610.58,2500484.93,46.220587,6.148874,,
Avenue de Vaudagne 39 (1217 Meyrin),Ecole de Bellavista II,24/24,"Dans le préau de l'école,  vers l'entrée de la loge du concierge",OUI,1121297.19,2495111.04,46.235157,6.078315,,
Avenue de Vaudagne 6 (1217 Meyrin),Ecole de Meyrin-Village,24/24,A côté de l'entrée de la salle de gymnastique,OUI,1120722.29,2494611.75,46.229602,6.072945,,
Avenue des Amazones 25 (1224 Chene-Bougeries),Ecole de la Gradelle,"Lu, ma, je, ve 8:30 - 16:30 / me 8:30 - 11:30",-,-,1117494.58,2503202.49,46.201781,6.184399,,
Avenue des Grandes-Communes 27 - 1213 Onex,Pharmacie Munier,24/24,Sur la façade de la pharmacie à droite,OUI,1116476.54,2496921.88,46.19183958,6.103415214,,
Avenue des Grandes-Communes 6 (1213 Petit-Lancy),INDUNI - Bureaux des ateliers,lundi - vendredi 07h30-18h00,Palier escalier,NON,1116767.03,2497361.08,46.194887,6.108711,,
Avenue du Bois-de-la-Chapelle 90 - 1213 Onex,"Cuisine, Cantine","Lu, Ma, Je, Ve 11:30-13:30, durant les périodes scolaires seulement","Intérieur du bâtiment, sous la salle de gym",-,1115969.24,2496649.95,46.18662039,6.09801992,,
Avenue du Mail 14 (1205 Geneve),"Résidence universitaire, Paroisse et Centre de Conférence",Lundi - Vendredi 08:00 - 18:30,Dans l'entrée du bâtiment B,OUI,1117210.0,2499670.67,46.198758,6.139019,,
Avenue du Petit-Lancy 10 (1213 Petit-Lancy),Résidence du Petit-Lancy / Foyer-Handicap,24/24,Sur la façade de la résidence à l'extérieur,-,1116380.94,2498026.35,46.19117,6.117735,,
Avenue Edmond-VAUCHER 5 (1219 Chatelaine),Ferme Golay,lundi - vendredi 9h - 17h,Entrée rez,NON,1118656.12,2497835.42,46.211564,6.114781,,
Avenue Henri-DUNANT 13 (1205 Geneve),Sport Quest S.A. - Salle de Sport,lundi-vendredi 7:00-21:00 / samedi 10:00-17:00,"15m tout droit après l'entrée, contre le mur à gauche",OUI,1116905.88,2499913.67,46.196112,6.142073,,
Avenue Jacob-Daniel MAILLARD 6 (1217 Meyrin),Centre de Voirie et Horticole,lu-ve 7h30 à 16h45,A côté de la réception,OUI,1120733.72,2494035.97,46.229684,6.065135,,
Avenue Louis-Casaï 27 - 1211 Genève,MIGROS Balexert,Lu - Me 08:30 - 19:00 / Je 08:30 - 21:00 / Ve 08:30 - 19:30 / Sa 08:00 - 18:00,Au service client du magasin MIGROS MMM,OUI,1119571.57,2497770.53,46.21980683,6.113728234,,
Avenue Vibert 29 - 1227 Carouge,MIGROS Vibert,Lu - Me 08:00 - 19:00 / Je 08:00 - 20:00 / Ve 08:00 - 19:30 / Sa 08:00 - 18:00,En entrant à droite entre le fleuriste et Nicolas - en face des caisses,OUI,1115419.73,2499312.73,46.18269655,6.134607361,,
Avenue Vibert 32 - 1227 Carouge,M-Parc La Praille,Lu - 08:00 - 19:00 / Jeu - 08:00 - 20:00 / Sa - 08:00 - 18:00,Au service client DO IT GARDEN MIGROS,OUI,1115610.5,2499296.34,46.18440995,6.134353997,,
Boulevard des Promenades 18 (1227 Carouge GE),"Bâtiment des Aînés (cantine scolaire, EVE)","Lu, Me, Ve 08:30-11:30 14:00-16:30 / Ma, Je 08:30-11:30",SAS à côté du téléphone,OUI,1115404.49,2499524.82,46.182699,6.137275,,
Boulevard des Promenades 2BIS (1227 Carouge GE),Bibliothèque,lu 10h00-12h00 / ma 10h00-12h00 15h00-19h00 / me 10h00-19h00 / je 10h00-12h00 15h00-19h00 / ve 10h00,SAS d'entrée à gauche,OUI,1115702.82,2499526.97,46.185266,6.137314,,
Buxtorf Friedli Konstantine - Rte de Saint Julien 118,Immeuble rez,Lu - Ve 08:00 - 17:00,A la récéption direcement,OUI,1113985.29,2498137.98,46.16961783,6.119708313,,
Cabinet médical de Cayla - 4 Av. des Eidguenots - 1203 Genève,Immeuble,Lu - Ve 08:00 - 12:00 / 13:30 - 17:00,Salle de soin. Couloir premier à gauche,OUI,1118016.22,2498095.18,46.20586681,6.11827467,,
Cabinet médical de Varembé - 19 ch. Camille Vidart - 1202 Genève,Locaux,Lu - Ve 08:00 - 17:00,"Dans la salle de soin (couloir du milieu), porte gauche",-,1119506.49,2499506.8,46.21948336,6.136240545,,
Carougénéraliste - 1 rue du Léopard - 1227 Genève,Building / Appartement,Lu - Ma  08:00 - 12:30 13:30 - 17:00 / Je - Ve  08:00 - 12:30 13:30 -17:00,Entrée coulour qui se direge au fond  de salle de traitement / chariot rayon inférieur,NON,1115999.21,2499212.28,46.18789354,6.133181587,,
Carrefour de Villereuse 2A (1207 Geneve),Parking de Villereuse,lun-ven 8h00-18h00,Caisses automatiques,-,1117342.76,2501228.84,46.20034564,6.158935515,,
Centre de cardiologie des Nations - 8 rue Maurice Baillard - 1202 Genève,immeuble,Lu - Ve 08:00 - 18:00,"Entrée à la salle de soin Dr Testuz, itiroir droit, tout en haut",NON,1119585.4,2499182.6,46.22014454,6.13202259,,
Centre médical de Cressy - 99 rte. De Loex,batiment,Lu - Ve 08:00 - 18:00,Entrée tout au fond à droite - salle de soin,OUI,1115765.73,2495705.02,46.18525873,6.087814353,,
Centre Médical du Lignon - 2 place du Lignon - 1219 Genève,Centre commerciale Lignon - Rez - entrée droite coté jura,Lu - Ve 08:00 - 19:00 / Sa 09:00 - 13:00,"Dans la salle de soin numéro 2, dans le chariot d'urgence",OUI,1117875.52,2496488.96,46.2043559,6.097498252,,
Chemin Armand-Dufaux 13 - 1245 Collonge-Bellerive,Plage de la Savonnière,24/24,Sur le bâtiment des toilettes de la plage,OUI,1124344.55,2504511.59,46.263729,6.200101,,
Chemin Charles-Borgeaud 27 - 1213 Onex,Mairie,"Lu 08:30-18:00 / Ma 07:30-11:30 13:30-17:00 / Me,Je 08:30-11:30 - 13:30-17:00 / Ven 08:30-11:30 13:30-16:30","Après le hall d'entrée, dans le couloir à gauche",NON,1115333.14,2496774.66,46.18154509,6.10175413,,
Chemin d'Archamps 17 (1257 La Croix-de-Rozon),Bâtiment de la Bossenaz,24/24,Devant l'entrée du bâtiment,OUI,1110968.37,2499386.19,46.142667,6.136464,,
Chemin de Champlong 50 - 1284 Chancy,Epicerie Proxi,24/24,A l'extérieur de l'épicerie Proxi,OUI,1111999.99,2486805.95,46.1499506,5.973491016,,
Chemin de la Berne 5 (1217 Meyrin),Centre sportif de Maisonnex,Lu - Dim 7:00 - 22:00,A côté de la réception,OUI,1121387.85,2493074.3,46.235412,6.05246,,
Chemin de la Bise 19 (1222 Vesenaz),Camping TCS,24/24,À côte la porte de la recéption,OUI,1122274.74,2503956.72,46.245033,6.193332,,
Chemin de la Colombe 7 - 1231 Conches,Ecole primaire de Conches,24/24,Se trouve contre le bâtiment dans le préau près des tables de ping-pong,OUI,1116083.26,2502736.91,46.1891686,6.178809273,,
Chemin de la Gradelle 10 - 1224 Chêne-Bougeries,MIGROS Gradelle,Lu-Me 07:30 -19:00 / Je 07:30 - 20:00 / Ve 07:30 - 19:30 / Sa 08:00 - 18:00,Entrée à droite en face des ascenseurs pour descendre parking,OUI,1117875.39,2503013.99,46.20532783,6.182025325,,
Chemin de la Gradelle 41 - 1224 Chêne-Bougeries,Centre de loisirs - Passage 41,24/24,"AED à l'entrée du centre de loisirs, à l'extérieur du bâtiment",OUI,1117720.93,2503436.6,46.20399939,6.187531993,,
Chemin de la Maille 70 (1217 Meyrin),Terrain Jakob,24/24,Sur la façade d'entrée de la maison,NON,1122389.09,2493880.38,46.244571,6.062686,,
Chemin de la Mairie 21 (1258 Perly),Stade de football - Zone sportive,24/24,Extérieur de la buvette - côté Jura,OUI,1112343.04,2495937.29,46.154606,6.091627,,
Chemin de la Montagne 3 - 1224 Chêne-Bougeries,Ecole primaire du chemin de la Montagne,24/24,A l'entrée principale de l'école. Il faut entrer dans le préau pour accéder à l'AED.,OUI,1117013.09,2503588.2,46.19765452,6.189642054,,
Chemin de la Montagne 73 - 1224 Chêne-Bougeries,Ecole primaire du Belvédère,24/24,AED entrée école côté piscine du Belvédère,OUI,1117838.13,2504292.62,46.205176,6.198597,,
Chemin de la Pralay 4 (1294 Genthod),Centre communal polyvalent,lun-ven 08h00 - 17h00,"Entrée principale du bâtiment, à droite de la porte",OUI,1124556.53,2500952.22,46.265124,6.153917,,
Chemin de la Ruette 10 - 1284 Chancy,Préau Ecole primaire,24/24,Sous le préau couvert entre les deux bâtiments de l'école. A l'entrée du bâtiment en bois foncé.,OUI,1111963.41,2486576.61,46.149583,5.970532,,
Chemin de l'Ancien-Péage 1 - 1290 Versoix,MIGROS Porte de Versoix,Lu - Me 08:00 - 19:00 / Je 08:00 - 20:00 / Ve 08:00 - 19:30 / Sa 08:00 - 19:00,Entre les deux ascenceurs vers entrée magasin Migros - entrée côté Jura,OUI,1125651.43,2502015.14,46.27512403,6.167451089,,
Chemin de l'Etang 4 (1219 Chatelaine),Service de la cohésion sociale,"Lu, Me, Je, Ve 9:00-12:00 13:00 - 16:00",Hall d'entrée,NON,1118760.57,2497451.97,46.212448,6.109753,,
Chemin de Mancy 61 - 1245 Collonge-Bellerive,Epicentre,24/24,Sur la façade côté buvette entre les 2 bâtiments,OUI,1122723.84,2504735.6,46.24918337,6.203337537,,
Chemin de Mussel 7 (1288 Aire-la-Ville),Salle polyvalente,24/24,A droite de la porte d'entrée principale,OUI,1116496.79,2492401.59,46.191356,6.044872,,
Chemin de Pont-céard,Pont-Céard - cabine Swisscom,24/24,Sur la voie publique à côté de l'ancienne cabine Swisscom,OUI,1127055.85,2501693.93,46.287709,6.162988,,
Chemin de Poussy 33 (1214 Vernier),Centre de quartier de Poussy,lundi-vendredi 11:00-14:00,Hall d'entrée,NON,1119037.17,2495994.68,46.21473,6.090837,,
Chemin de Sionnet 48 (1254 Jussy),Voie publique,24/24,Sur en mur existant à l'hauteur du numero 48 du Chemin de Sionnet,NON,1120973.59,2508117.78,46.233446,6.246997,,
Chemin de Sous-le-Clos 32 (1232 Confignon),Salle communale de Confignon,24/24,Entrée salle communale sur la droite,-,1114540.45,2495326.58,46.174236,6.082761,,
Chemin des Aiglons (1293 Bellevue),Parking sous-terrain Gitana,24/24,"Sur le bâtiment de l'accès piéton au parking, côté Jura du bâtiment",-,1123372.09,2500888.26,46.2544573,6.1533194,,
Chemin des Bougeries 15 (1231 Conches),Ecole supérieure de soins ambulanciers,Lundi-Vendredi 7:00-18:00 (hors vacances scolaires),"Dans le couloir à l'entrée du batiment, dans une armoire vitrée à droite",NON,1116134.7,2502657.64,46.189269,6.178069,,
Chemin des Briffods 6 (1244 Choulex),Salle communale,Lundi-vendredi de 08h00 à 18h00,Derrière le bar,OUI,1120117.27,2506235.91,46.225929,6.223337,,
Chemin des Cordonnieres 7 (1243 Presinge),Salle des fêtes,24/24,A l'entrée de la salle des fetes,NON,1119454.96,2508651.33,46.2202595,6.2547613,,
Chemin des Fosses 8 (1219 Aire),Stade d'Aïre,"Lu, Ma, Je, Ve 17:00-00:00 / Me 15:00-00:00 / Sa, Di 08:00-00:00",Couloir vestiaire,NON,1117112.66,2496256.21,46.197477,6.09465,,
Chemin des Graviers 35 - 1290 Versoix,Port Choiseul - Plage,24/24,"A l'entrée de la plage de Versoix, portail d'entrée",OUI,1127183.19,2502279.95,46.28893996,6.170564341,,
Chemin des Lezards 17 (1219 Aire),Tennis Aïre,7j/7j  Lun-Dim 9:00-22:00,Restaurant,NON,1116977.24,2496317.76,46.196236,6.095458,,
