Adresse,Type de lieu,Horaire,Position,Mode ped,COORD_N_Y,COORD_E_X,LAT,LON,Field10,Field11
Route de La-Repentance 92 (1252 Meinier),Salle de gymnastique,"Lu, Ma, Je, Ve 8:00-16:00 / Me 8:00-12:00",Dans le hall d'entrée du bâtiment,OUI,1122438.88,2507067.25,46.247174,6.233387,,
Route de Lausanne 312A (1293 Bellevue),Sauvetage de Bellevue-Genthod / Buvette de Gitana,24/24,"Contre le mur en béton, vers les tables de ping-pong",-,1123254.32,2500888.86,46.2533628,6.1534428,,
Route de l'Etraz 201 - 1290 Versoix,Centre sportif,24/24,A proximité de l'entrée principale,OUI,1128012.68,2501076.57,46.296091,6.154768,,
Route de Lullier 65 (1254 Jussy),Bâtiment ancienne laiterie,24/24,Mur en retrait de la route à côté porte entrée,OUI,1120523.36,2509048.33,46.23006,6.25967,,
Route de l'Usine-a-Gaz 10 (1219 Aire),Café Nénuphar,lundi-vendredi 9:00-16:00,Grande salle,NON,1118047.31,2497314.59,46.206031,6.108119,,
Route de l'Usine-a-Gaz 16 (1219 Aire),Ecole des Libellules,"Lu, Ma, Je, Ve 8:15-17:00 / Me 8:15-12:15",Couloir salle de gym,NON,1118123.48,2497272.36,46.206745,6.107632,,
Route de Meinier 24 - 1253 Vandoeuvres,Salle polyvalente,24/24,"En contrebas de la route de Meinier, en face de l'école primaire",OUI,1119798.92,2504772.59,46.22288044,6.204414604,,
Route de Meyrin 297 (1217 Meyrin),Salle Antoine-Verchère,24/24,Sur la façade côté entrée parking souterrain,NON,1120595.65,2494575.6,46.228251,6.072002,,
Route de Monniaz 109 (1254 Jussy),Bâtiment,24/24,Sur le mur à l'extérieur du bâtiment,OUI,1121817.93,2512657.62,46.242112,6.306234,,
Route de Peney 2-4 - 1214 Vernier,MIGROS Vernier Arcenter,Lu - Me 08:00 - 19:00 / Je 08:00 - 20:00 / Ve 08:00 - 19:30 / Sa 08:00 - 18:00,Au niveau de Florissimo - rez,OUI,1119250.95,2495420.88,46.21656156,6.083354091,,
Route de Pressy 4 - 1253 Vandoeuvres,Ecole primaire salle rythmique,24/24,-,OUI,1119858.3,2504741.99,46.2234102,6.204005938,,
Route de Saint-Julien 118 (1228 Plan-les-Ouates),Centre Laserdermato,Lundi-vendredi 8h-17h,Couloir entrée du centre,NON,1113985.29,2498137.98,46.169626,6.119748,,
Route de Saint-Julien 176 - 1228 Plan-les-Ouates,MIGROS Plan-Les Ouates,Lu - Me 08:00 - 19:00 / Je 08:00 - 20:00 / Ve 08:00 - 19:30 / Sa 08:00 - 18:00,À côté de l'entrée du magasin Migros - service client,OUI,1113750.54,2497782.93,46.16745256,6.115163239,,
Route de Saint-Julien 5B (1227 Carouge GE),Bâtiment police municipale,lundi-vendredi  08h00-12h00 14h00-17h00,Réception,OUI,1114894.23,2499401.99,46.178059,6.136197,,
Route de Saint-Loup 12 - 1290 Versoix,Salle Communale,24/24,Entrée inférieure au niveau préau inférieur,OUI,1126197.69,2501651.75,46.279971,6.162495,,
Route de Suisse 18 - 1290 Versoix,Mairie,24/24,"A gauche de la Mairie, à côté du panneau d'affichage officiel",OUI,1125739.33,2502228.84,46.27594579,6.170204552,,
Route de Thonon (1223 Cologny),Sauvetage de la Belotte-Bellerive,"Ma, Je, Sa, Di 9:00-12:00",-,-,1 120 776.41,2503557.48,46.231304,6.188763,,
Route de Thonon 55 - 1245 Collonge-Bellerive,MIGROS Collonge-Bellerive - Vésenaz,Lu - Me 08:00 - 19:00 / Je 08:00 - 20:00 / Ve 08:00 - 19:30 / Sa 08:00 - 19:00,Au niveau du service client à droite des caisses,OUI,1121738.61,2504357.84,46.24026805,6.19864208,,
Route des Vandoeuvres 104 - 1253 Vandoeuvres,Mairie,24/24,Sur la gauche du batiment (passer le portail),OUI,1119506.68,2504451.16,46.22020627,6.200309146,,
Route de Vernier 178 (1214 Vernier),Espace de Vie Enfantine Vernier-Village,lundi - vendredi 7h30 - 18h,Bureau administratif - réception,NON,1119418.35,2495829.68,46.218134,6.088655,,
Route de Vernier 200 (1214 Vernier),Ecole de Vernier-Place,"Lu, Ma, Je, Ve 8:15-17:00 / Me 8:15-12:15",Hall d'entrée salle de gym,NON,1119268.38,2495654.95,46.216773,6.086333,,
Route de Vessy 29 (1234 Vessy),Centre sportif de Vessy,24/24,A l'entrée des vestiaires,OUI,1115634.0,2501741.37,46.184983,6.166011,,
Route de Veyrier 57 (1227 Carouge GE),Boulodrome (Centre sportif),7j/7j  08h00-23h00,Hall d'entrée du Boulodrome sur le téléphone,OUI,1115628.48,2500729.67,46.184836,6.15295,,
Route de Vireloup 16 (1239 Collex),Stade Marc-Burdet,24/24,Sur le bâtiment coté terrain de foot,-,1124801.98,2498764.74,46.26689,6.125607,,
Route des Beillans 9 (1254 Jussy),Ecole primaire  et centre sportif de Jussy,24/24,Sur la droite de la porte d'entrée de l'école primaire,OUI,1121214.82,2509193.97,46.23634,6.261404,,
Route des Lolliets 11 (1286 Soral),Ecole primaire et enfantine,24/24,Fixé à droite de la porte d'entrée de l'école,-,1111304.2,2492132.45,46.144573,6.042573,,
Route d'Hermance 110 - 1245 Collonge-Bellerive,Ecole de Collonge,24/24,Sous le préau couvert au niveau du parking voiture,OUI,1123081.72,2504761.79,46.252406,6.203604,,
